,location,total_sqft,bath,price,BHK,price_per_sqft
265,7th Phase JP Nagar,1000.0,1.0,60.0,1,6000.0
267,7th Phase JP Nagar,1430.0,2.0,102.0,3,7132.867132867133
268,7th Phase JP Nagar,1128.0,2.0,60.0,2,5319.148936170212
269,7th Phase JP Nagar,1140.0,2.0,57.0,2,5000.0
270,7th Phase JP Nagar,1420.0,3.0,90.0,3,6338.028169014085
271,7th Phase JP Nagar,1530.0,2.0,108.0,2,7058.823529411765
272,8th Block Jayanagar,2000.0,6.0,300.0,6,15000.0
273,8th Phase JP Nagar,1073.5,2.0,54.005,2,5030.740568234746
274,8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
276,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
278,8th Phase JP Nagar,1455.0,3.0,73.31,3,5038.487972508591
279,8th Phase JP Nagar,871.0,2.0,55.0,2,6314.580941446613
280,8th Phase JP Nagar,1098.0,2.0,43.91,2,3999.089253187614
281,8th Phase JP Nagar,1800.0,3.0,80.0,3,4444.444444444444
282,8th Phase JP Nagar,2700.0,4.0,130.0,4,4814.814814814815
283,8th Phase JP Nagar,1080.0,2.0,38.0,2,3518.5185185185187
284,8th Phase JP Nagar,1059.0,2.0,34.5,2,3257.790368271955
285,8th Phase JP Nagar,1080.0,2.0,35.0,2,3240.740740740741
287,8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.0583804143125
288,8th Phase JP Nagar,500.0,1.0,31.0,1,6200.0
289,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
290,8th Phase JP Nagar,2100.0,4.0,92.0,4,4380.952380952381
291,8th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
292,8th Phase JP Nagar,909.0,2.0,40.9,2,4499.4499449945
293,8th Phase JP Nagar,1431.5,3.0,72.02,3,5031.086273140063
294,8th Phase JP Nagar,1900.0,4.0,90.0,3,4736.8421052631575
295,8th Phase JP Nagar,500.0,1.0,30.0,1,6000.0
296,8th Phase JP Nagar,1125.0,2.0,36.94,2,3283.5555555555557
297,8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.818181818182
298,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
300,8th Phase JP Nagar,1504.0,2.0,83.0,3,5518.617021276596
301,8th Phase JP Nagar,2600.0,4.0,115.0,4,4423.076923076923
303,8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.0817263544536
305,8th Phase JP Nagar,1513.0,2.0,62.0,2,4097.818902842036
306,8th Phase JP Nagar,1298.0,2.0,59.0,2,4545.454545454545
307,8th Phase JP Nagar,1006.0,2.0,44.0,2,4373.75745526839
308,8th Phase JP Nagar,500.0,1.0,33.0,1,6600.0
309,8th Phase JP Nagar,1160.0,2.0,95.0,2,8189.6551724137935
310,8th Phase JP Nagar,1245.0,2.0,59.0,2,4738.955823293173
311,8th Phase JP Nagar,1510.0,2.0,80.0,2,5298.013245033113
312,8th Phase JP Nagar,3300.0,3.0,165.0,3,5000.0
313,8th Phase JP Nagar,1730.0,5.0,75.0,5,4335.260115606937
316,8th Phase JP Nagar,1046.0,2.0,48.0,2,4588.910133843212
318,8th Phase JP Nagar,1408.0,3.0,80.0,3,5681.818181818182
320,8th block Koramangala,1846.0,3.0,300.0,3,16251.354279523293
321,8th block Koramangala,1410.0,1.0,233.0,2,16524.822695035462
322,8th block Koramangala,1165.0,2.0,135.0,2,11587.982832618025
323,8th block Koramangala,2400.0,3.0,290.0,3,12083.333333333334
324,9th Block Jayanagar,700.0,1.0,150.0,1,21428.571428571428
325,9th Block Jayanagar,1440.0,4.0,240.0,4,16666.666666666668
326,9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
328,9th Phase JP Nagar,1100.0,2.0,65.0,2,5909.090909090909
329,9th Phase JP Nagar,1080.0,2.0,37.0,2,3425.925925925926
330,9th Phase JP Nagar,1035.0,2.0,45.0,2,4347.826086956522
331,9th Phase JP Nagar,5000.0,4.0,290.0,4,5800.0
332,9th Phase JP Nagar,1164.0,2.0,56.0,2,4810.996563573884
333,9th Phase JP Nagar,1005.0,2.0,42.0,2,4179.104477611941
334,9th Phase JP Nagar,1127.0,2.0,50.0,2,4436.557231588287
335,9th Phase JP Nagar,1005.0,2.0,43.0,2,4278.606965174129
336,9th Phase JP Nagar,835.0,2.0,37.0,2,4431.137724550898
337,9th Phase JP Nagar,1050.0,2.0,39.0,2,3714.285714285714
338,9th Phase JP Nagar,660.0,2.0,27.0,2,4090.909090909091
339,9th Phase JP Nagar,600.0,1.0,20.0,1,3333.3333333333335
340,9th Phase JP Nagar,1466.0,2.0,71.0,2,4843.110504774898
341,9th Phase JP Nagar,1890.0,2.0,93.0,3,4920.6349206349205
342,9th Phase JP Nagar,1079.0,2.0,60.0,2,5560.704355885079
343,9th Phase JP Nagar,1480.0,2.0,80.0,2,5405.405405405405
344,9th Phase JP Nagar,1200.0,2.0,80.0,2,6666.666666666667
345,9th Phase JP Nagar,905.0,2.0,32.0,2,3535.9116022099447
346,9th Phase JP Nagar,1073.0,2.0,52.36,2,4879.77632805219
347,9th Phase JP Nagar,1719.3,2.0,88.0,3,5118.362124120282
348,9th Phase JP Nagar,1780.0,3.0,88.0,3,4943.820224719101
350,9th Phase JP Nagar,1522.0,3.0,90.0,3,5913.272010512484
353,9th Phase JP Nagar,890.0,2.0,45.0,2,5056.179775280899
355,9th Phase JP Nagar,5000.0,4.0,300.0,4,6000.0
357,9th Phase JP Nagar,1050.0,2.0,35.0,2,3333.3333333333335
358,9th Phase JP Nagar,1331.95,2.0,69.0,2,5180.374638687638
359,A Narayanapura,600.0,2.0,35.0,1,5833.333333333333
360,A Narayanapura,1500.0,2.0,85.0,1,5666.666666666667
361,AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
362,AECS Layout,1028.0,2.0,42.0,2,4085.603112840467
363,AECS Layout,1199.0,2.0,65.0,2,5421.184320266889
364,AECS Layout,1080.0,2.0,55.0,2,5092.592592592592
365,AECS Layout,1123.0,2.0,64.0,2,5699.020480854853
366,AECS Layout,1308.0,2.0,60.0,2,4587.155963302752
367,AECS Layout,1005.0,2.0,55.0,2,5472.636815920398
369,AGS Layout,1450.0,2.0,85.0,3,5862.068965517241
370,AGS Layout,1040.0,2.0,46.79,2,4499.038461538462
371,AGS Layout,1936.0,3.0,110.0,3,5681.818181818182
372,AGS Layout,1075.0,2.0,48.38,2,4500.46511627907
373,AMS Layout,1650.0,2.0,80.0,3,4848.484848484848
374,AMS Layout,1200.0,4.0,80.0,3,6666.666666666667
375,Abbaiah Reddy Layout,1310.0,2.0,50.0,3,3816.793893129771
376,Abbaiah Reddy Layout,1100.0,2.0,38.45,2,3495.454545454546
377,Abbaiah Reddy Layout,1100.0,2.0,38.49,2,3499.090909090909
378,Abbaiah Reddy Layout,1190.0,2.0,41.0,2,3445.378151260504
379,Abbaiah Reddy Layout,1100.0,2.0,38.5,2,3500.0
380,Abbigere,985.0,2.0,40.39,2,4100.507614213198
381,Abbigere,2200.0,6.0,68.0,6,3090.909090909091
382,Abbigere,765.0,2.0,30.0,1,3921.5686274509803
383,Abbigere,880.0,2.0,35.0,2,3977.2727272727275
384,Abbigere,795.0,2.0,32.54,2,4093.0817610062895
385,Abbigere,1005.0,2.0,39.59,2,3939.303482587065
386,Abbigere,734.0,1.0,19.82,1,2700.272479564033
388,Abbigere,1020.0,2.0,41.82,2,4100.0
389,Abbigere,985.0,2.0,40.39,2,4100.507614213198
390,Abbigere,2500.0,6.0,81.0,6,3240.0
391,Abbigere,795.0,2.0,32.54,2,4093.0817610062895
392,Abbigere,1130.0,2.0,46.33,2,4100.0
393,Abbigere,795.0,1.0,32.6,2,4100.62893081761
394,Abbigere,3000.0,8.0,150.0,8,5000.0
395,Abbigere,985.0,2.0,38.92,2,3951.269035532995
396,Abbigere,1000.0,2.0,41.0,2,4100.0
397,Abbigere,995.0,2.0,40.8,2,4100.5025125628135
398,Abbigere,1020.0,2.0,40.8,2,3999.9999999999995
399,Agrahara Dasarahalli,800.0,1.0,72.0,1,9000.0
400,Agrahara Dasarahalli,1350.0,1.0,120.0,3,8888.888888888889
401,Aishwarya Crystal Layout,2250.0,3.0,113.0,3,5022.222222222223
402,Aishwarya Crystal Layout,1053.0,2.0,51.0,2,4843.304843304843
403,Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
404,Akshaya Nagar,1070.0,2.0,54.0,2,5046.728971962617
405,Akshaya Nagar,1280.0,2.0,58.0,2,4531.25
406,Akshaya Nagar,1662.0,3.0,85.1,3,5120.336943441636
407,Akshaya Nagar,1897.0,3.0,120.0,3,6325.77754348972
408,Akshaya Nagar,1410.0,2.0,75.0,3,5319.148936170212
409,Akshaya Nagar,1360.0,2.0,85.0,3,6250.0
411,Akshaya Nagar,1410.0,2.0,80.0,3,5673.758865248227
412,Akshaya Nagar,1662.0,3.0,85.0,3,5114.320096269555
413,Akshaya Nagar,1662.0,3.0,85.5,3,5144.404332129964
414,Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
415,Akshaya Nagar,1666.0,3.0,95.0,3,5702.280912364946
416,Akshaya Nagar,1575.0,3.0,90.0,3,5714.285714285715
417,Akshaya Nagar,1430.0,2.0,75.0,3,5244.755244755244
418,Akshaya Nagar,1419.0,2.0,73.0,3,5144.46793516561
419,Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
420,Akshaya Nagar,1200.0,2.0,50.0,2,4166.666666666667
421,Akshaya Nagar,1092.0,2.0,60.0,2,5494.505494505494
422,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
424,Akshaya Nagar,1897.0,4.0,93.0,3,4902.477596204533
425,Akshaya Nagar,1884.0,3.0,98.0,3,5201.698513800425
426,Akshaya Nagar,1314.0,2.0,68.8,2,5235.920852359209
427,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
428,Akshaya Nagar,1265.0,2.0,67.0,2,5296.442687747036
429,Akshaya Nagar,1126.0,2.0,55.0,2,4884.547069271758
431,Akshaya Nagar,1662.0,3.0,90.0,3,5415.162454873646
432,Akshaya Nagar,1420.0,2.0,75.0,3,5281.69014084507
433,Akshaya Nagar,1412.0,2.0,88.0,3,6232.294617563739
434,Akshaya Nagar,1434.0,3.0,84.0,3,5857.740585774059
435,Akshaya Nagar,1890.0,4.0,100.0,3,5291.005291005291
437,Akshaya Nagar,1419.0,2.0,87.0,3,6131.0782241014795
438,Akshaya Nagar,1300.0,2.0,54.0,2,4153.846153846154
439,Akshaya Nagar,1690.0,3.0,85.0,3,5029.585798816568
440,Akshaya Nagar,1113.0,2.0,52.0,2,4672.057502246182
441,Akshaya Nagar,1820.0,4.0,95.0,3,5219.780219780219
